Emotions,Path
neutral,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-01-01-01-01-01.wav
neutral,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-01-01-01-02-01.wav
neutral,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-01-01-02-01-01.wav
neutral,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-01-01-02-02-01.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-02-01-01-01-01.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-02-01-01-02-01.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-02-01-02-01-01.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-02-01-02-02-01.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-02-02-01-01-01.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-02-02-01-02-01.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-02-02-02-01-01.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-02-02-02-02-01.wav
happy,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-03-01-01-01-01.wav
happy,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-03-01-01-02-01.wav
happy,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-03-01-02-01-01.wav
happy,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-03-01-02-02-01.wav
happy,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-03-02-01-01-01.wav
happy,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-03-02-01-02-01.wav
happy,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-03-02-02-01-01.wav
happy,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-03-02-02-02-01.wav
sad,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-04-01-01-01-01.wav
sad,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-04-01-01-02-01.wav
sad,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-04-01-02-01-01.wav
sad,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-04-01-02-02-01.wav
sad,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-04-02-01-01-01.wav
sad,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-04-02-01-02-01.wav
sad,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-04-02-02-01-01.wav
sad,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-04-02-02-02-01.wav
angry,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-05-01-01-01-01.wav
angry,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-05-01-01-02-01.wav
angry,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-05-01-02-01-01.wav
angry,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-05-01-02-02-01.wav
angry,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-05-02-01-01-01.wav
angry,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-05-02-01-02-01.wav
angry,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-05-02-02-01-01.wav
angry,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-05-02-02-02-01.wav
fear,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-06-01-01-01-01.wav
fear,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-06-01-01-02-01.wav
fear,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-06-01-02-01-01.wav
fear,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-06-01-02-02-01.wav
fear,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-06-02-01-01-01.wav
fear,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-06-02-01-02-01.wav
fear,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-06-02-02-01-01.wav
fear,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-06-02-02-02-01.wav
disgust,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-07-01-01-01-01.wav
disgust,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-07-01-01-02-01.wav
disgust,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-07-01-02-01-01.wav
disgust,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-07-01-02-02-01.wav
disgust,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-07-02-01-01-01.wav
disgust,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-07-02-01-02-01.wav
disgust,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-07-02-02-01-01.wav
disgust,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-07-02-02-02-01.wav
surprise,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-08-01-01-01-01.wav
surprise,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-08-01-01-02-01.wav
surprise,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-08-01-02-01-01.wav
surprise,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-08-01-02-02-01.wav
surprise,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-08-02-01-01-01.wav
surprise,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-08-02-01-02-01.wav
surprise,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-08-02-02-01-01.wav
surprise,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_01/03-01-08-02-02-02-01.wav
neutral,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_02/03-01-01-01-01-01-02.wav
neutral,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_02/03-01-01-01-01-02-02.wav
neutral,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_02/03-01-01-01-02-01-02.wav
neutral,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_02/03-01-01-01-02-02-02.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_02/03-01-02-01-01-01-02.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_02/03-01-02-01-01-02-02.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_02/03-01-02-01-02-01-02.wav
calm,C:\Users\Sharan Prabhath\Downloads\dataset_audio\RAVDESS\\Actor_02/03-01-02-01-02-02-02.wav
